WaveLenght (nm)	Skylarr
353.19	0.58750682
353.2	0.587482245
353.21	0.587459146
353.22	0.587436023
353.23	0.587412617
353.24	0.587387593
353.25	0.587361162
353.26	0.587332432
353.27	0.587300698
353.28	0.587268588
353.29	0.587237139
353.3	0.587205325
353.31	0.587176505
353.32	0.587150028
353.33	0.587128396
353.34	0.587108033
353.35	0.587087404
353.36	0.587067083
353.37	0.587044186
353.38	0.587018912
353.39	0.586989456
353.4	0.586956036
353.41	0.586918153
353.42	0.586877807
353.43	0.586838197
353.44	0.586801071
353.45	0.586768875
353.46	0.58674118
353.47	0.586717689
353.48	0.586697042
353.49	0.586678043
353.5	0.586660881
353.51	0.58664335
353.52	0.586624887
353.53	0.586603661
353.54	0.586580778
353.55	0.586555511
353.56	0.586528776
353.57	0.586499573
353.58	0.586470176
353.59	0.586437821
353.6	0.586402851
353.61	0.586368522
353.62	0.586335414
353.63	0.586304216
353.64	0.586275332
353.65	0.586248775
353.66	0.586224998
353.67	0.586202189
353.68	0.586180472
353.69	0.58615729
353.7	0.586133249
353.71	0.586106101
353.72	0.586077211
353.73	0.58604561
353.74	0.586014923
353.75	0.585982447
353.76	0.585951215
353.77	0.585919689
353.78	0.585891027
353.79	0.585865435
353.8	0.585841268
353.81	0.585818169
353.82	0.585795774
353.83	0.585774961
353.84	0.585753313
353.85	0.585729478
353.86	0.585701976
353.87	0.585672536
353.88	0.585638062
353.89	0.585602863
353.9	0.58556672
353.91	0.585531527
353.92	0.585497593
353.93	0.585465353
353.94	0.585436155
353.95	0.585408513
353.96	0.585382626
353.97	0.58535865
353.98	0.585333934
353.99	0.58531013
354	0.585286902
354.01	0.58526529
354.02	0.585243141
354.03	0.585221186
354.04	0.585197744
354.05	0.585173757
354.06	0.585148242
354.07	0.585122159
354.08	0.585094589
354.09	0.585067192
354.1	0.585039403
354.11	0.585010831
354.12	0.584983397
354.14	0.584956528
354.15	0.584928011
354.16	0.584899344
354.17	0.584870761
354.18	0.584841439
354.19	0.584812054
354.2	0.584781845
354.21	0.58475268
354.22	0.584726027
354.23	0.584699771
354.24	0.584675977
354.25	0.584652704
354.26	0.584629854
354.27	0.584606171
354.28	0.584583077
354.29	0.584557869
354.3	0.584529362
354.31	0.584498111
354.32	0.584463766
354.33	0.58442678
354.34	0.584389329
354.35	0.584354174
354.36	0.584323681
354.37	0.584294679
354.38	0.584269312
354.39	0.584245987
354.4	0.584224188
354.41	0.58420252
354.42	0.584178553
354.43	0.584153992
354.44	0.584127359
354.45	0.58409995
354.46	0.584072592
354.47	0.584046113
354.48	0.584020349
354.49	0.583994508
354.5	0.58396811
354.51	0.583942839
354.52	0.583917684
354.53	0.583893296
354.54	0.583869683
354.55	0.583844876
354.56	0.583818921
354.57	0.583792868
354.58	0.583766429
354.59	0.583740107
354.6	0.583714314
354.61	0.583686545
354.62	0.583657868
354.63	0.583628219
354.64	0.583599818
354.65	0.583570506
354.66	0.583541184
354.67	0.583510092
354.68	0.583479512
354.69	0.58345028
354.7	0.58342152
354.71	0.583394925
354.72	0.583368472
354.73	0.583343435
354.74	0.583319256
354.75	0.583296041
354.76	0.583272915
354.77	0.583248825
354.78	0.583223801
354.79	0.583199463
354.8	0.583175409
354.81	0.583151954
354.82	0.58312852
354.83	0.583107163
354.84	0.583084043
354.85	0.583061545
354.86	0.583038201
354.87	0.583011048
354.88	0.582980252
354.89	0.582944079
354.9	0.582906612
354.91	0.582868459
354.92	0.58283125
354.93	0.582793952
354.94	0.582761569
354.95	0.582730983
354.96	0.582705117
354.97	0.582682489
354.98	0.582660302
354.99	0.58263923
355	0.582618438
355.01	0.58259587
355.02	0.58257332
355.03	0.58254929
355.04	0.582523454
355.05	0.582496358
355.06	0.582469733
355.07	0.58244311
355.08	0.582417597
355.09	0.582390796
355.1	0.582364371
355.11	0.582336549
355.12	0.582308515
355.13	0.582282367
355.14	0.582254552
355.15	0.582228223
355.16	0.582201171
355.17	0.582175619
355.18	0.582151433
355.19	0.58212701
355.2	0.582101552
355.21	0.582076306
355.22	0.582050484
355.23	0.582024362
355.24	0.581998223
355.25	0.581971675
355.26	0.581943303
355.27	0.58191488
355.28	0.581885971
355.29	0.581859176
355.3	0.58183297
355.31	0.581808611
355.32	0.581783644
355.33	0.581758655
355.34	0.58173332
355.35	0.581708827
355.36	0.581683892
355.37	0.581659715
355.38	0.581633696
355.39	0.581607422
355.4	0.581580476
355.41	0.581551235
355.42	0.58152118
355.43	0.581490925
355.44	0.581460112
355.45	0.581430454
355.46	0.581401911
355.47	0.581375304
355.48	0.581351938
355.49	0.581327482
355.5	0.581304394
355.51	0.581280567
355.52	0.581258272
355.53	0.581235736
355.54	0.581210546
355.55	0.581183251
355.56	0.58115331
355.57	0.581120698
355.58	0.58108463
355.59	0.581046787
355.6	0.581009709
355.61	0.580976629
355.62	0.580946946
355.63	0.580920666
355.64	0.580896598
355.65	0.580874043
355.66	0.580852885
355.67	0.580833217
355.68	0.58081512
355.69	0.580798055
355.7	0.580781355
355.71	0.58076279
355.72	0.58074217
355.73	0.580719365
355.74	0.580693575
355.75	0.580663639
355.76	0.58063004
355.77	0.580591913
355.78	0.580552133
355.79	0.580513568
355.8	0.580477089
355.81	0.580444193
355.82	0.580416126
355.83	0.580391502
355.84	0.580368867
355.85	0.580350042
355.86	0.580332631
355.87	0.580316937
355.88	0.580300757
355.89	0.580283206
355.9	0.580263438
355.91	0.580240123
355.92	0.580215381
355.93	0.58018701
355.94	0.580156315
355.95	0.580124104
355.96	0.580088548
355.97	0.580053809
355.98	0.580019519
355.99	0.579987118
356	0.579956286
356.01	0.57992812
356.02	0.579902902
356.03	0.579879309
356.04	0.579856001
356.05	0.579834147
356.06	0.579811747
356.07	0.579788204
356.08	0.579763395
356.09	0.579738468
356.1	0.579714007
356.11	0.579689446
356.12	0.579663606
356.13	0.579635811
356.14	0.579606483
356.15	0.579574959
356.16	0.579543551
356.17	0.579511469
356.18	0.579481695
356.19	0.579454443
356.2	0.57942962
356.21	0.579405161
356.22	0.579381069
356.23	0.579356614
356.24	0.579331873
356.25	0.579306617
356.26	0.579279644
356.27	0.579251805
356.28	0.579223
356.29	0.579193838
356.3	0.579162179
356.31	0.579131342
356.32	0.579101479
356.33	0.579072667
356.34	0.579044971
