wl(nm),ref_hemi,HCRF
400.0000000000000,0.01785890583148475,0.02160834436185445
401.0000000000000,0.01733698024896666,0.02124442074817306
402.0000000000000,0.01686599095330556,0.02091812407931116
403.0000000000000,0.01651783047687233,0.02068235644072500
404.0000000000000,0.01629095518983195,0.02053315714450394
405.0000000000000,0.01614601494939193,0.02044313045067957
406.0000000000000,0.01607571550231355,0.02040548192896430
407.0000000000000,0.01602467990205160,0.02038236193804537
408.0000000000000,0.01599250536571869,0.02037472099774543
409.0000000000000,0.01597199441385319,0.02037360613598951
410.0000000000000,0.01592849818150941,0.02034560961794871
411.0000000000000,0.01587102697641698,0.02031569915713123
412.0000000000000,0.01584511064731907,0.02032028986543865
413.0000000000000,0.01586114110410034,0.02035417256370347
414.0000000000000,0.01589410835241801,0.02040197534826729
415.0000000000000,0.01592058525603279,0.02044252128675827
416.0000000000000,0.01596082571981840,0.02049350689165247
417.0000000000000,0.01600165358504494,0.02054334897372106
418.0000000000000,0.01604595525210866,0.02059541452722776
419.0000000000000,0.01609214237000720,0.02064757874220493
420.0000000000000,0.01613176040600311,0.02069767318579007
421.0000000000000,0.01614756858226518,0.02072640022024311
422.0000000000000,0.01617331464557124,0.02076198301804393
423.0000000000000,0.01620395943583360,0.02080071318885251
424.0000000000000,0.01625790406005414,0.02085637017158971
425.0000000000000,0.01631453896744630,0.02091762549736940
426.0000000000000,0.01634625306360954,0.02096031249357305
427.0000000000000,0.01634887806853346,0.02097627497521035
428.0000000000000,0.01636522504814476,0.02100023837139630
429.0000000000000,0.01639523259243128,0.02103855439459669
430.0000000000000,0.01640923176039576,0.02106320839055706
431.0000000000000,0.01641221799732733,0.02108143490720507
432.0000000000000,0.01643081767448025,0.02111284498107578
433.0000000000000,0.01645230727014208,0.02114469641315771
434.0000000000000,0.01647160177310363,0.02117375832688836
435.0000000000000,0.01649069274274304,0.02120092757845843
436.0000000000000,0.01651203353059001,0.02122951453704297
437.0000000000000,0.01653403204932978,0.02125446620044263
438.0000000000000,0.01655821770479100,0.02128191106986340
439.0000000000000,0.01658776405953000,0.02131287828668222
440.0000000000000,0.01663270188251420,0.02135559287439162
441.0000000000000,0.01670367006713867,0.02142362617856092
442.0000000000000,0.01677742861292763,0.02149082878653712
443.0000000000000,0.01685158210349076,0.02155837702657943
444.0000000000000,0.01693139660350177,0.02162716140156499
445.0000000000000,0.01702716817879084,0.02170594866334745
446.0000000000000,0.01711654569019833,0.02178149823851373
447.0000000000000,0.01721316881809734,0.02185973084427414
448.0000000000000,0.01733504182410217,0.02195850500753278
449.0000000000000,0.01747412425863336,0.02206843968016551
450.0000000000000,0.01762223134736476,0.02218133195735190
451.0000000000000,0.01778238412744517,0.02230585895962037
452.0000000000000,0.01796511923933539,0.02244578716446073
453.0000000000000,0.01815503499682931,0.02258898654405794
454.0000000000000,0.01834075719436678,0.02273105109535039
455.0000000000000,0.01852441452651277,0.02287195607900567
456.0000000000000,0.01870983626880820,0.02301361849069833
457.0000000000000,0.01890836384187520,0.02316926115757008
458.0000000000000,0.01908603375406593,0.02330752700915358
459.0000000000000,0.01924739458215818,0.02343549815892811
460.0000000000000,0.01939030395783680,0.02354884363690093
461.0000000000000,0.01951102222949007,0.02364732003973668
462.0000000000000,0.01960345303117744,0.02372235360326183
463.0000000000000,0.01968850311917661,0.02379463513800818
464.0000000000000,0.01977646132397310,0.02386656012124423
465.0000000000000,0.01987873573434670,0.02395192342065712
466.0000000000000,0.01997397434442124,0.02403476374526891
467.0000000000000,0.02004655133026934,0.02409954305262152
468.0000000000000,0.02010931242287519,0.02415572650067162
469.0000000000000,0.02018445375969863,0.02422637778793160
470.0000000000000,0.02025282045444265,0.02429057949729331
471.0000000000000,0.02029849145341693,0.02433892519787346
472.0000000000000,0.02034324311670176,0.02438515546722044
473.0000000000000,0.02039991541127170,0.02444153781411555
474.0000000000000,0.02045299612033965,0.02449515582262926
475.0000000000000,0.02050180441630644,0.02454818220636184
476.0000000000000,0.02055203776230397,0.02460084350090902
477.0000000000000,0.02063388822550890,0.02467604195480621
478.0000000000000,0.02071383212353033,0.02474983261594955
479.0000000000000,0.02078934134139085,0.02482018264707080
480.0000000000000,0.02088281397211766,0.02490281603795633
481.0000000000000,0.02101562900664162,0.02501796770102719
482.0000000000000,0.02117533739923854,0.02514831020201514
483.0000000000000,0.02134874218378229,0.02528919362560777
484.0000000000000,0.02155969203403375,0.02545888009146288
485.0000000000000,0.02181349407131699,0.02565880120361776
486.0000000000000,0.02211148616420841,0.02588885711930578
487.0000000000000,0.02246322348415731,0.02616194670877554
488.0000000000000,0.02288532271004262,0.02648560802056762
489.0000000000000,0.02338489567405486,0.02686574277526435
490.0000000000000,0.02394799512055285,0.02729472864649602
491.0000000000000,0.02458316095101995,0.02778365841660762
492.0000000000000,0.02530062325356006,0.02833539464726487
493.0000000000000,0.02611528524996302,0.02896488384931472
494.0000000000000,0.02701164827254354,0.02965646415406287
495.0000000000000,0.02800778590208231,0.03042473782139472
496.0000000000000,0.02912025128459964,0.03128506883968075
497.0000000000000,0.03035576061859670,0.03224556344834434
498.0000000000000,0.03170514105283043,0.03329703243087534
499.0000000000000,0.03313845862226683,0.03441585336706014
500.0000000000000,0.03469959678383668,0.03563367039620392
501.0000000000000,0.03638724465257209,0.03696178307563516
502.0000000000000,0.03822520390507339,0.03840901115688904
503.0000000000000,0.04020865580425472,0.03997792688201567
504.0000000000000,0.04234429213688584,0.04166647432390146
505.0000000000000,0.04461915794106987,0.04347408000169766
506.0000000000000,0.04708550385861224,0.04543220008880160
