wl(nm),ref_hemi,HCRF
400.0000000000000,0.05656314671651673,0.08074211630384010
401.0000000000000,0.05598202824285951,0.08030444436319910
402.0000000000000,0.05545200003683114,0.07990277570951405
403.0000000000000,0.05504543538137861,0.07958819696724524
404.0000000000000,0.05474358775635781,0.07933050453391666
405.0000000000000,0.05454297060339219,0.07915905806605485
406.0000000000000,0.05441838232372544,0.07903980643038393
407.0000000000000,0.05431291856803411,0.07893409315115184
408.0000000000000,0.05422561984279144,0.07884194362553350
409.0000000000000,0.05415073673903371,0.07875732601694097
410.0000000000000,0.05405213324094629,0.07865518761629445
411.0000000000000,0.05394058831728785,0.07854352753917651
412.0000000000000,0.05386077299416199,0.07845523617438238
413.0000000000000,0.05382343930054125,0.07839600387984680
414.0000000000000,0.05380226487663743,0.07834888900376055
415.0000000000000,0.05377535033114100,0.07829631743233846
416.0000000000000,0.05376187088524483,0.07825330955953029
417.0000000000000,0.05374938013743797,0.07821008213318866
418.0000000000000,0.05374028130549831,0.07816896458750085
419.0000000000000,0.05371491042614081,0.07809998251646930
420.0000000000000,0.05370007156887403,0.07805541349677619
421.0000000000000,0.05364420077604162,0.07796416165943423
422.0000000000000,0.05357974367991704,0.07785088072952054
423.0000000000000,0.05352010491661535,0.07774062519798902
424.0000000000000,0.05348362840892051,0.07764644049179230
425.0000000000000,0.05346666889782284,0.07758347006553319
426.0000000000000,0.05344317512245046,0.07753135064384398
427.0000000000000,0.05339244872799524,0.07745712796591291
428.0000000000000,0.05333751540240617,0.07736304458320878
429.0000000000000,0.05331287389717836,0.07730819342251462
430.0000000000000,0.05327278028388551,0.07724134626895539
431.0000000000000,0.05323940818649568,0.07719576270863895
432.0000000000000,0.05322078299488327,0.07716140220877400
433.0000000000000,0.05320552836862104,0.07712841712330333
434.0000000000000,0.05318846685048027,0.07709334180293211
435.0000000000000,0.05317158148164500,0.07705749826468486
436.0000000000000,0.05315686556808662,0.07702297525429855
437.0000000000000,0.05312556539549086,0.07695873516677643
438.0000000000000,0.05311456103651808,0.07692492943555732
439.0000000000000,0.05310887561684409,0.07689454916328803
440.0000000000000,0.05311820434474963,0.07687487696822240
441.0000000000000,0.05320701501589428,0.07696170933813668
442.0000000000000,0.05329961212348695,0.07704962224146571
443.0000000000000,0.05339246832294765,0.07713773331256482
444.0000000000000,0.05349200619420016,0.07722893030838812
445.0000000000000,0.05358928242600844,0.07730171307302702
446.0000000000000,0.05371701982460965,0.07742837807554281
447.0000000000000,0.05383414122363563,0.07753027948376751
448.0000000000000,0.05399445034192791,0.07767941577590823
449.0000000000000,0.05417245589810184,0.07784015585490002
450.0000000000000,0.05434196329035482,0.07797702090443653
