  Wl(nm)  HCRF  Rso  Rdo  Rsd  Rdd  ABSs  ABSd
       470       0.02127312       0.01882923       0.02565837       0.01929803       0.02376950       0.90750486       0.80824063
       471       0.02127638       0.01883596       0.02567463       0.01931425       0.02379193       0.90750175       0.80825681
       472       0.02127572       0.01883975       0.02568843       0.01932747       0.02381179       0.90750169       0.80827570
       473       0.02127760       0.01884562       0.02570375       0.01934164       0.02383221       0.90750118       0.80829436
       474       0.02127894       0.01885132       0.02571887       0.01935534       0.02385216       0.90750127       0.80831359
       475       0.02128385       0.01885896       0.02573947       0.01936803       0.02387379       0.90751256       0.80835325
       476       0.02128684       0.01886657       0.02575593       0.01938226       0.02389390       0.90751274       0.80837274
       477       0.02128882       0.01887270       0.02577151       0.01939689       0.02391475       0.90751167       0.80839087
       478       0.02129208       0.01887977       0.02578811       0.01941364       0.02393769       0.90750791       0.80840645
       479       0.02129463       0.01888652       0.02580437       0.01942964       0.02395989       0.90750511       0.80842295
       480       0.02129689       0.01889281       0.02582083       0.01944831       0.02398508       0.90749817       0.80843536
       481       0.02130826       0.01890671       0.02584891       0.01947891       0.02402466       0.90748601       0.80845266
       482       0.02131186       0.01891365       0.02586749       0.01950641       0.02405925       0.90746639       0.80845272
       483       0.02131959       0.01892426       0.02589002       0.01954213       0.02410188       0.90743639       0.80844297
       484       0.02133208       0.01893786       0.02592056       0.01958648       0.02415639       0.90740388       0.80844033
       485       0.02134453       0.01895354       0.02594990       0.01964056       0.02421773       0.90734921       0.80840691
       486       0.02135516       0.01896580       0.02597758       0.01969750       0.02428293       0.90728875       0.80836751
       487       0.02137380       0.01898496       0.02601669       0.01976769       0.02436410       0.90722078       0.80833071
       488       0.02139585       0.01900785       0.02605696       0.01985429       0.02445896       0.90712152       0.80825436
       489       0.02141856       0.01903134       0.02609974       0.01995187       0.02456554       0.90700634       0.80816252
       490       0.02144835       0.01906087       0.02614943       0.02006505       0.02468763       0.90687090       0.80805144
       491       0.02148970       0.01909923       0.02621649       0.02019282       0.02482994       0.90673565       0.80795996
       492       0.02153946       0.01914546       0.02629293       0.02034279       0.02499447       0.90657125       0.80784072
       493       0.02159914       0.01920070       0.02638332       0.02051185       0.02518084       0.90639159       0.80771671
       494       0.02166347       0.01926064       0.02647547       0.02069703       0.02538035       0.90618137       0.80755400
       495       0.02174065       0.01933322       0.02658174       0.02091289       0.02561018       0.90593160       0.80735381
       496       0.02183067       0.01941858       0.02670155       0.02115588       0.02586645       0.90564750       0.80712130
       497       0.02194286       0.01952475       0.02684669       0.02143716       0.02616265       0.90532515       0.80686265
       498       0.02207441       0.01964967       0.02701135       0.02175638       0.02649566       0.90495514       0.80655920
       499       0.02222355       0.01979270       0.02719471       0.02211143       0.02686332       0.90454025       0.80621362
       500       0.02239454       0.01995809       0.02739750       0.02251463       0.02727474       0.90405522       0.80579240
       501       0.02260070       0.02015515       0.02764338       0.02296532       0.02774008       0.90354082       0.80537324
       502       0.02282978       0.02037853       0.02791187       0.02346710       0.02825149       0.90295351       0.80487613
       503       0.02309125       0.02063518       0.02821708       0.02402364       0.02881782       0.90230879       0.80433536
