Wl	avg med mob 10
268.72	-4.3679E-10
268.96	-3.90002E-10
269.2	-3.62475E-10
269.44	-3.8298E-10
269.68	-4.04478E-10
269.92	-3.98287E-10
270.16	-3.97285E-10
270.4	-4.08181E-10
270.64	-4.16275E-10
270.88	-4.15458E-10
271.12	-4.13635E-10
271.36	-4.10326E-10
271.6	-4.09963E-10
271.84	-4.26646E-10
272.08	-4.40026E-10
272.32	-4.37617E-10
272.56	-4.59473E-10
272.8	-4.61368E-10
273.04	-4.62651E-10
273.28	-4.65421E-10
273.52	-4.66658E-10
273.76	-4.62781E-10
274	-4.6657E-10
274.24	-5.1036E-10
274.48	-5.15279E-10
274.72	-4.95667E-10
274.96	-4.84329E-10
275.2	-4.70077E-10
275.44	-4.63022E-10
275.68	-4.60129E-10
275.92	-4.63637E-10
276.16	-4.74058E-10
276.4	-4.62568E-10
276.64	-4.76626E-10
276.88	-4.88285E-10
277.12	-4.77781E-10
277.36	-4.67282E-10
277.6	-4.68102E-10
277.84	-4.72039E-10
278.08	-4.68261E-10
278.32	-4.58524E-10
278.56	-4.48516E-10
278.8	-4.39824E-10
279.04	-4.5674E-10
279.28	-4.50679E-10
279.52	-4.39221E-10
279.76	-4.41032E-10
280	-4.5382E-10
280.24	-4.74992E-10
280.48	-4.87745E-10
280.72	-4.95525E-10
280.96	-5.13621E-10
281.2	-5.2599E-10
281.44	-5.24901E-10
281.68	-5.18618E-10
281.92	-5.01518E-10
282.16	-4.68144E-10
282.4	-4.46691E-10
282.64	-4.31096E-10
282.88	-4.1228E-10
283.12	-4.04773E-10
283.36	-4.09092E-10
283.6	-4.08259E-10
283.84	-4.41863E-10
284.08	-4.34716E-10
284.32	-4.32248E-10
284.56	-4.46657E-10
284.8	-4.59097E-10
285.04	-4.59873E-10
285.28	-4.67678E-10
285.52	-4.858E-10
285.76	-4.97837E-10
286	-4.8815E-10
286.24	-4.88489E-10
286.48	-4.61856E-10
286.72	-4.70208E-10
286.96	-4.60293E-10
287.2	-4.22459E-10
287.44	-4.0101E-10
287.68	-4.04244E-10
287.92	-4.03962E-10
288.16	-3.95374E-10
288.4	-3.94349E-10
288.64	-3.95743E-10
288.88	-3.67048E-10
289.12	-3.33232E-10
289.36	-3.13275E-10
289.6	-3.31057E-10
289.84	-3.73965E-10
290.08	-3.99122E-10
290.32	-3.86833E-10
290.56	-3.60894E-10
290.8	-8.83707E-10
291.04	-8.59806E-10
291.28	-8.55154E-10
291.52	-8.78186E-10
291.76	-8.99501E-10
292	-9.23341E-10
292.24	-9.12785E-10
292.48	-8.66317E-10
292.72	-8.63414E-10
292.96	-8.84557E-10
293.2	-9.04955E-10
293.44	-3.82759E-10
293.68	-3.87513E-10
293.92	-3.82565E-10
294.16	-3.84123E-10
294.4	-3.89768E-10
294.64	-3.81927E-10
294.88	-3.79885E-10
295.12	-4.1139E-10
295.36	-4.19827E-10
295.6	-4.05523E-10
295.84	-3.8053E-10
296.08	-3.85224E-10
296.32	-4.01253E-10
296.56	-4.18401E-10
296.8	-4.20435E-10
297.04	-4.18152E-10
297.28	-4.23715E-10
297.52	-4.39475E-10
297.76	-4.47701E-10
298	-4.44489E-10
298.24	-4.67089E-10
298.48	-5.03524E-10
298.72	-5.03892E-10
298.96	-5.05084E-10
299.2	-5.10548E-10
299.44	-5.16888E-10
299.68	-5.21016E-10
299.92	-5.19249E-10
300.16	-5.06959E-10
300.4	-4.96619E-10
300.64	-4.96825E-10
300.88	-4.93519E-10
301.12	-4.96477E-10
301.36	-4.89425E-10
301.6	-4.73798E-10
301.84	-3.01998E-10
302.08	-4.20603E-10
302.32	-4.07142E-10
302.56	-4.05197E-10
302.8	-4.01755E-10
303.04	-4.03149E-10
303.28	-4.01479E-10
303.52	-4.06793E-10
303.76	-4.08346E-10
304	-3.99844E-10
304.24	-3.88999E-10
304.48	-6.05401E-10
304.72	-4.28851E-10
304.96	-4.40598E-10
305.2	-4.44836E-10
305.44	-4.55679E-10
305.68	-4.59704E-10
305.92	-4.60721E-10
306.16	-4.6626E-10
306.4	-4.81322E-10
306.64	-5.06449E-10
306.88	-5.30837E-10
307.12	-5.41149E-10
307.36	-5.45182E-10
307.6	-5.51355E-10
307.84	-5.50065E-10
308.08	-5.43114E-10
308.32	-5.29101E-10
308.56	-5.27814E-10
308.8	-5.30517E-10
309.04	-5.24832E-10
309.28	-5.2234E-10
309.52	-5.28718E-10
309.76	-5.36705E-10
310	-5.35084E-10
310.24	-5.14923E-10
310.48	-5.0063E-10
310.72	-5.0181E-10
310.96	-5.28464E-10
311.2	-5.492E-10
311.44	-5.59673E-10
311.68	-5.64799E-10
311.92	-5.6268E-10
312.16	-5.52722E-10
312.4	-5.40963E-10
312.64	-5.27133E-10
312.88	-5.37282E-10
313.12	-5.53815E-10
313.36	-5.61956E-10
313.6	-5.56311E-10
313.84	-5.47179E-10
314.08	-5.38805E-10
314.32	-5.28602E-10
314.56	-5.17734E-10
314.8	-5.13098E-10
315.04	-5.187E-10
315.28	-5.37329E-10
315.52	-5.54952E-10
315.76	-5.72453E-10
316	-5.83361E-10
316.24	-5.9365E-10
316.48	-6.04122E-10
316.72	-6.15183E-10
316.96	-6.31982E-10
317.2	-6.52426E-10
317.44	-6.68647E-10
317.68	-6.7882E-10
317.92	-6.86846E-10
318.16	-6.88082E-10
318.4	-6.6659E-10
318.64	-6.5017E-10
318.88	-6.33598E-10
319.12	-6.13755E-10
319.36	-5.96086E-10
319.6	-5.82136E-10
319.84	-5.7445E-10
320.08	-5.72586E-10
320.32	-5.65447E-10
320.56	-5.74617E-10
320.8	-5.83176E-10
321.04	-5.93231E-10
321.28	-5.96438E-10
321.52	-5.97725E-10
321.76	-6.0071E-10
322	-6.01373E-10
322.24	-6.03185E-10
322.48	-5.8911E-10
322.72	-5.78711E-10
322.96	-5.77993E-10
323.2	-5.71695E-10
323.44	-5.6401E-10
323.68	-5.59922E-10
323.92	-5.58599E-10
324.16	-5.59489E-10
324.4	-5.61734E-10
324.64	-5.64841E-10
324.88	-5.62009E-10
325.12	-5.72197E-10
325.36	-5.79883E-10
325.6	-5.77866E-10
325.84	-5.77473E-10
326.08	-5.76592E-10
326.32	-5.77157E-10
326.56	-5.81481E-10
326.8	-5.82854E-10
327.04	-5.80183E-10
327.28	-5.73796E-10
327.52	-5.77055E-10
327.76	-5.82375E-10
328	-5.85156E-10
328.24	-5.86588E-10
328.48	-5.89452E-10
328.72	-5.93795E-10
328.96	-5.93529E-10
329.2	-5.88261E-10
329.44	-5.89492E-10
329.68	-5.93978E-10
329.92	-6.04087E-10
330.16	-5.97484E-10
330.4	-5.92142E-10
330.64	-5.86334E-10
330.88	-5.8474E-10
331.12	-5.81143E-10
331.36	-5.75643E-10
331.6	-5.73925E-10
331.84	-5.72517E-10
332.08	-5.7134E-10
332.32	-5.69044E-10
332.56	-5.67463E-10
332.8	-5.65214E-10
333.04	-5.63924E-10
333.28	-5.63971E-10
333.52	-5.61521E-10
333.76	-5.56749E-10
334	-5.5162E-10
334.24	-5.48634E-10
334.48	-5.48774E-10
334.72	-5.49481E-10
334.96	-5.48745E-10
335.2	-5.52395E-10
335.44	-5.57172E-10
335.68	-5.55311E-10
335.92	-5.50172E-10
336.16	-5.46156E-10
336.4	-5.4348E-10
336.64	-5.40752E-10
336.88	-5.4063E-10
337.12	-5.42214E-10
337.36	-5.39556E-10
337.6	-5.38785E-10
337.84	-5.30999E-10
338.08	-5.25319E-10
338.32	-5.20694E-10
338.56	-5.17586E-10
338.8	-5.17128E-10
339.04	-5.18699E-10
339.28	-5.19745E-10
339.52	-5.157E-10
339.76	-5.11265E-10
340	-5.0812E-10
340.24	-5.04409E-10
340.48	-5.0422E-10
340.72	-5.04688E-10
340.96	-5.0424E-10
341.2	-5.01485E-10
341.44	-4.97645E-10
341.68	-4.9464E-10
341.92	-4.9247E-10
342.16	-4.94129E-10
342.4	-4.93173E-10
342.64	-4.91862E-10
342.88	-4.90442E-10
343.12	-4.86722E-10
343.36	-4.80749E-10
343.6	-4.78118E-10
343.84	-4.7918E-10
344.08	-4.7945E-10
344.32	-4.78931E-10
344.56	-4.78054E-10
344.8	-4.73307E-10
345.04	-4.69046E-10
345.28	-4.64482E-10
345.52	-4.60112E-10
345.76	-4.57433E-10
346	-4.57425E-10
346.24	-4.56535E-10
346.48	-4.52497E-10
346.72	-4.46682E-10
346.96	-4.40887E-10
347.2	-4.3737E-10
347.44	-4.34407E-10
347.68	-4.31865E-10
347.92	0.000223249
348.16	0.000914176
348.4	0.002063587
348.64	0.003629975
348.88	0.005551798
349.12	0.007707021
349.36	0.010081319
349.6	0.012733354
349.84	0.015523835
350.08	0.018255593
350.32	0.021061516
350.56	0.023691574
350.8	0.025771615
351.04	0.027364067
351.28	0.02862069
351.52	0.029615723
351.76	0.030439056
352	0.031066414
352.24	0.031229117
352.48	0.031336334
352.72	0.03144667
352.96	0.031402683
353.2	0.031353576
353.44	0.031381164
353.68	0.031413153
353.92	0.031387223
354.16	0.031283405
354.4	0.031095086
354.64	0.030943553
354.88	0.030837145
355.12	0.030762877
355.36	0.030790955
355.6	0.030888223
355.84	0.030990779
356.08	0.031036841
356.32	0.031062399
356.56	0.031081851
356.8	0.031039317
357.04	0.030963992
357.28	0.030773304
357.52	0.030785371
357.76	0.030832583
358	0.030808762
358.24	0.030699662
358.48	0.030531735
358.72	0.030458587
358.96	0.030408288
359.2	0.030350929
359.44	0.030337082
359.68	0.030374071
359.92	0.030459841
360.16	0.030470974
360.4	0.030317089
360.64	0.030225487
360.88	0.030246544
361.12	0.030250613
361.36	0.030221169
361.6	0.03021845
361.84	0.030188424
362.08	0.030156696
362.32	0.030096518
362.56	0.030114232
362.8	0.030132746
363.04	0.030222827
363.28	0.030187405
363.52	0.030120373
363.76	0.030114952
364	0.030114952
364.24	0.030063881
364.48	0.029997916
364.72	0.029891254
364.96	0.029752889
365.2	0.029549383
365.44	0.029469545
365.68	0.029340493
365.92	0.029279636
366.16	0.029235146
366.4	0.029229637
366.64	0.029234085
366.88	0.029245954
367.12	0.029281243
367.36	0.029310252
367.6	0.029421809
367.84	0.029561989
368.08	0.02959011
368.32	0.029544126
368.56	0.02953193
368.8	0.029552984
369.04	0.02958067
369.28	0.029567005
369.52	0.029506038
369.76	0.029485269
370	0.029533845
370.24	0.029505325
370.48	0.029508594
370.72	0.029493292
370.96	0.029515572
371.2	0.029525399
371.44	0.029514771
371.68	0.029513745
371.92	0.029527639
372.16	0.029538566
372.4	0.029557691
372.64	0.029565117
372.88	0.029572474
373.12	0.029534213
373.36	0.029502873
373.6	0.029500092
373.84	0.029489447
374.08	0.029499964
374.32	0.029543635
374.56	0.029613013
374.8	0.02968357
375.04	0.029693419
