wl1; r1
801.00000;0.31553041
802.00000;0.31634232
803.00000;0.31741211
804.00000;0.31850231
805.00000;0.31930147
806.00000;0.31988741
807.00000;0.32070402
808.00000;0.32175660
809.00000;0.32260609
810.00000;0.32319145
811.00000;0.32391314
812.00000;0.32456974
813.00000;0.32524744
814.00000;0.32594335
815.00000;0.32661724
816.00000;0.32736124
817.00000;0.32798569
818.00000;0.32877327
819.00000;0.32984497
820.00000;0.33077431
821.00000;0.33161454
822.00000;0.33208801
823.00000;0.33280000
824.00000;0.33382678
825.00000;0.33483849
826.00000;0.33575198
827.00000;0.33622341
828.00000;0.33710473
829.00000;0.33817458
830.00000;0.33922956
831.00000;0.34006037
832.00000;0.34084597
833.00000;0.34155244
834.00000;0.34232500
835.00000;0.34366263
836.00000;0.34457092
837.00000;0.34561850
838.00000;0.34664094
839.00000;0.34749343
840.00000;0.34803349
841.00000;0.34876588
842.00000;0.34952253
843.00000;0.35027784
844.00000;0.35129055
845.00000;0.35197580
846.00000;0.35278326
847.00000;0.35363859
848.00000;0.35450826
849.00000;0.35506694
850.00000;0.35559154
851.00000;0.35629041
852.00000;0.35727411
853.00000;0.35808848
854.00000;0.35867105
855.00000;0.35910304
856.00000;0.35997212
857.00000;0.36065511
858.00000;0.36135859
859.00000;0.36228672
860.00000;0.36307657
861.00000;0.36337518
862.00000;0.36350071
863.00000;0.36394169
864.00000;0.36410536
865.00000;0.36415438
866.00000;0.36380002
867.00000;0.36379396
868.00000;0.36373580
869.00000;0.36304270
870.00000;0.36121948
871.00000;0.35980877
872.00000;0.35754843
873.00000;0.35473030
874.00000;0.35184181
875.00000;0.34974226
876.00000;0.34853700
877.00000;0.34823051
878.00000;0.34822437
879.00000;0.34883374
880.00000;0.34993613
881.00000;0.35167434
882.00000;0.35421181
883.00000;0.35704632
884.00000;0.35987667
885.00000;0.36234791
886.00000;0.36461660
887.00000;0.36692666
888.00000;0.36903972
889.00000;0.37077561
890.00000;0.37268764
891.00000;0.37462832
892.00000;0.37591666
893.00000;0.37658723
894.00000;0.37691925
895.00000;0.37796380
896.00000;0.37896724
897.00000;0.37965270
898.00000;0.38086870
899.00000;0.38128489
