Wl; WR; S; Ref; Info
196.00000;7.7367024e-012;6.1420090e-012;0.79387945;2.0000000
196.24000;6.8808660e-012;8.1045073e-012;1.1778325;1.0000000
196.48000;3.6081413e-012;1.8677623e-011;5.1765221;1.0000000
196.72000;2.1305837e-012;1.2667997e-011;5.9457873;1536.0000
196.96000;1.0302610e-011;1.2577525e-012;0.12208096;400.00000
197.20000;-3.2803301e-012;-1.0950748e-011;3.3383067;10.000000
197.44000;-1.0820379e-011;-9.1932586e-012;0.84962445;0.00000000
197.68000;-6.8205577e-012;-5.9343990e-012;0.87007534;0.00000000
197.92000;-4.6146298e-015;-1.0866975e-011;2354.8964;0.00000000
198.16000;3.7205800e-012;-1.4868855e-011;-3.9963809;0.00000000
198.40000;-2.8167844e-012;-1.1982793e-011;4.2540683;0.00000000
198.64000;3.6830188e-012;3.5360745e-012;0.96010221;0.00000000
198.88000;1.2091580e-011;3.1052049e-011;2.5680721;0.00000000
199.12000;-4.2589967e-012;1.4909664e-011;-3.5007456;0.00000000
199.36000;-1.1314360e-011;2.2679179e-012;-0.20044598;0.00000000
199.60000;-9.8770806e-012;-6.7680424e-013;0.068522701;0.00000000
199.84000;4.5400168e-012;1.2963176e-011;2.8553144;0.00000000
200.08000;1.8231472e-011;2.2804655e-011;1.2508400;0.00000000
200.32000;1.7433314e-011;1.4124349e-012;0.081019301;0.00000000
200.56000;2.5786766e-011;-2.3650448e-011;-0.91715449;0.00000000
200.80000;2.2116623e-011;6.9878698e-012;0.31595555;0.00000000
201.04000;1.9530566e-011;-1.3709248e-012;-0.070193808;0.00000000
201.28000;2.6363795e-012;-3.3196982e-012;-1.2591883;0.00000000
201.52000;5.5474027e-012;3.6234186e-012;0.65317389;0.00000000
201.76000;1.6842017e-011;1.3934899e-011;0.82738897;0.00000000
202.00000;2.4351165e-011;1.8753062e-011;0.77010944;0.00000000
202.24000;2.3232716e-011;1.6379536e-011;0.70502029;0.00000000
202.48000;1.8943730e-011;9.1390320e-012;0.48243044;0.00000000
202.72000;2.3188123e-011;-3.3480849e-013;-0.014438793;0.00000000
202.96000;2.6103154e-011;1.2558706e-011;0.48111832;0.00000000
203.20000;2.1046726e-011;2.9888947e-012;0.14201234;0.00000000
203.44000;1.6638116e-011;-4.6900208e-012;-0.28188412;0.00000000
203.68000;1.6807553e-011;3.0410736e-012;0.18093494;0.00000000
203.92000;2.0111227e-011;7.2566093e-014;0.0036082380;0.00000000
204.16000;2.3643375e-011;2.6343365e-013;0.011141964;0.00000000
204.40000;2.3609570e-011;4.3813713e-012;0.18557608;0.00000000
204.64000;1.9141751e-011;4.6354757e-012;0.24216570;0.00000000
204.88000;1.6301957e-011;1.5352423e-011;0.94175343;0.00000000
205.12000;2.4452310e-011;3.1339355e-011;1.2816521;0.00000000
205.36000;2.1553344e-011;2.7302678e-011;1.2667491;0.00000000
205.60000;1.2455980e-011;9.8605016e-012;0.79162791;0.00000000
205.84000;1.2006677e-011;3.1353981e-012;0.26113786;0.00000000
206.08000;1.2009090e-011;4.2227515e-012;0.35162959;0.00000000
206.32000;1.4779655e-011;4.0271452e-012;0.27247897;0.00000000
206.56000;1.8185316e-011;1.2299957e-012;0.067636753;0.00000000
206.80000;2.0017910e-011;4.6375582e-012;0.23167044;0.00000000
207.04000;2.4547683e-011;2.0298067e-011;0.82688321;0.00000000
207.28000;2.8500407e-011;3.1592307e-011;1.1084862;0.00000000
207.52000;3.4876496e-011;2.1008029e-011;0.60235491;0.00000000
