Wl; WR; S; Ref; Info
196.00000;1.1538844e-011;7.7619390e-012;0.67267907;2.0000000
196.24000;9.7463120e-012;4.6263628e-012;0.47467830;1.0000000
196.48000;5.7015957e-012;1.8562904e-011;3.2557384;1.0000000
196.72000;6.3090393e-012;1.7116930e-011;2.7130802;1536.0000
196.96000;1.6632687e-011;9.7506324e-012;0.58623314;400.00000
197.20000;3.9643601e-012;3.4850325e-012;0.87909078;10.000000
197.44000;-2.7676126e-012;1.2516175e-012;-0.45223725;0.00000000
197.68000;-5.3596375e-012;4.2490246e-012;-0.79278209;0.00000000
197.92000;-9.2921713e-012;2.8776085e-012;-0.30968096;0.00000000
198.16000;-6.9950198e-012;-8.7793595e-012;1.2550871;0.00000000
198.40000;-7.2314236e-012;-9.5663684e-012;1.3228887;0.00000000
198.64000;2.5448166e-012;-2.1533398e-012;-0.84616698;0.00000000
198.88000;7.0659296e-012;-7.9904076e-012;-1.1308360;0.00000000
199.12000;-2.2279174e-012;-6.2662866e-012;2.8126207;0.00000000
199.36000;-1.3866699e-011;-2.2223467e-012;0.16026502;0.00000000
199.60000;-1.0392757e-011;-6.2727135e-012;0.60356589;0.00000000
199.84000;5.2936414e-012;2.2078785e-012;0.41708124;0.00000000
200.08000;1.9723171e-011;1.2214568e-011;0.61930044;0.00000000
200.32000;2.5868267e-011;-4.0670019e-012;-0.15721973;0.00000000
200.56000;2.7523242e-011;-1.6411762e-011;-0.59628737;0.00000000
200.80000;2.2852386e-011;-8.7269097e-013;-0.038188177;0.00000000
201.04000;1.8986334e-011;1.4508941e-011;0.76417814;0.00000000
201.28000;7.2815221e-013;-1.1370493e-011;-15.615544;0.00000000
201.52000;2.5173508e-012;-5.6448936e-012;-2.2423945;0.00000000
201.76000;1.0233091e-011;8.1467329e-012;0.79611652;0.00000000
202.00000;1.7669968e-011;1.8084570e-011;1.0234636;0.00000000
202.24000;1.9133690e-011;1.5897622e-011;0.83087068;0.00000000
202.48000;1.2714877e-011;8.0003436e-013;0.062921123;0.00000000
202.72000;1.0972170e-011;-4.4553475e-012;-0.40605891;0.00000000
202.96000;1.3145049e-011;4.2235634e-012;0.32130450;0.00000000
203.20000;1.3277353e-011;4.1715364e-012;0.31418434;0.00000000
203.44000;1.1539408e-011;1.4555953e-011;1.2614124;0.00000000
203.68000;9.7199447e-012;2.1024238e-011;2.1629998;0.00000000
203.92000;1.5584610e-011;1.6334828e-011;1.0481383;0.00000000
204.16000;2.0623115e-011;1.9538590e-011;0.94741219;0.00000000
204.40000;1.9031074e-011;2.2488074e-011;1.1816503;0.00000000
204.64000;1.2551349e-011;1.2648928e-011;1.0077744;0.00000000
204.88000;6.8211876e-012;1.1259437e-011;1.6506563;0.00000000
205.12000;1.9823935e-011;1.2397313e-011;0.62537096;0.00000000
205.36000;1.8971545e-011;1.5382516e-011;0.81082042;0.00000000
205.60000;7.7894580e-012;7.6429171e-012;0.98118728;0.00000000
205.84000;7.0957193e-012;9.0064908e-012;1.2692851;0.00000000
206.08000;1.1031971e-011;1.2566542e-011;1.1391021;0.00000000
206.32000;1.3283480e-011;8.4024249e-012;0.63254695;0.00000000
206.56000;1.1021378e-011;3.1269272e-012;0.28371472;0.00000000
206.80000;8.8309122e-012;8.4059134e-012;0.95187373;0.00000000
207.04000;1.6179014e-011;1.9280071e-011;1.1916716;0.00000000
207.28000;3.1622014e-011;1.6285571e-011;0.51500738;0.00000000
207.52000;2.4432342e-011;3.0736378e-011;1.2580201;0.00000000
207.76000;1.2755897e-011;3.2083728e-011;2.5152075;0.00000000
208.00000;1.2539763e-011;3.3575269e-011;2.6775042;0.00000000
208.24000;7.7544059e-012;9.4832254e-012;1.2229467;0.00000000
208.48000;3.8218332e-012;6.7713413e-013;0.17717522;0.00000000
208.72000;1.3181657e-012;6.9933347e-012;5.3053534;0.00000000
208.96000;#N/D;#N/D;#N/D;0.00000000
209.20000;#N/D;#N/D;#N/D;0.00000000
209.44000;8.5132920e-012;9.9987126e-012;1.1744825;0.00000000
209.68000;2.4615429e-011;1.2698581e-011;0.51587892;0.00000000
209.92000;2.8552129e-011;1.3704230e-011;0.47997226;0.00000000
210.16000;3.3722120e-011;2.1745121e-011;0.64483256;0.00000000
210.40000;2.9731153e-011;1.7558149e-011;0.59056401;0.00000000
210.64000;2.2059089e-011;1.1263772e-011;0.51061819;0.00000000
210.88000;1.3843908e-011;3.2721901e-012;0.23636319;0.00000000
211.12000;8.0122252e-012;-2.4266498e-012;-0.30286840;0.00000000
211.36000;1.0010492e-011;2.9728389e-012;0.29697232;0.00000000
211.60000;2.0118752e-011;9.5944071e-012;0.47688879;0.00000000
211.84000;2.5283243e-011;1.9711902e-011;0.77964296;0.00000000
212.08000;1.2833456e-011;9.3510426e-012;0.72864572;0.00000000
212.32000;1.1938605e-011;1.0634406e-011;0.89075786;0.00000000
212.56000;1.0130979e-011;1.0013782e-011;0.98843190;0.00000000
212.80000;1.8133691e-011;9.1603809e-012;0.50515810;0.00000000
213.04000;3.1140164e-011;1.5244068e-011;0.48953076;0.00000000
213.28000;3.3592881e-011;2.3389089e-011;0.69625135;0.00000000
213.52000;2.1327958e-011;2.2416365e-011;1.0510319;0.00000000
213.76000;1.1785076e-011;1.4543522e-011;1.2340627;0.00000000
214.00000;1.6918667e-011;9.8991590e-012;0.58510276;0.00000000
214.24000;8.0973252e-012;-2.2486431e-012;-0.27770196;0.00000000
214.48000;1.6891459e-011;3.0264277e-012;0.17916911;0.00000000
214.72000;1.2959925e-011;4.5798301e-012;0.35338400;0.00000000
214.96000;1.9984545e-011;1.6743515e-011;0.83782318;0.00000000
215.20000;2.0774425e-011;2.5908284e-011;1.2471240;0.00000000
215.44000;1.7037927e-011;2.2465157e-011;1.3185382;0.00000000
215.68000;1.9300383e-011;1.5896813e-011;0.82365268;0.00000000
215.92000;1.1884590e-011;1.9135437e-011;1.6101049;0.00000000
216.16000;6.3708132e-012;2.8286771e-011;4.4400565;0.00000000
216.40000;6.9957406e-012;5.4215444e-012;0.77497790;0.00000000
216.64000;-4.7078442e-012;1.5735306e-011;-3.3423592;0.00000000
216.88000;8.3764079e-012;1.1637482e-011;1.3893166;0.00000000
217.12000;1.6211508e-011;6.6801228e-012;0.41206055;0.00000000
217.36000;1.9789771e-011;5.9774722e-012;0.30204857;0.00000000
217.60000;2.4560271e-011;1.1089774e-011;0.45153306;0.00000000
217.84000;2.7077988e-011;1.6522820e-011;0.61019379;0.00000000
218.08000;2.1542761e-011;1.0967406e-011;0.50909935;0.00000000
218.32000;9.1828899e-012;-3.9691680e-012;-0.43223517;0.00000000
218.56000;-1.9893888e-012;-1.3261844e-011;6.6662908;0.00000000
218.80000;-4.4064195e-012;3.5145501e-012;-0.79759772;0.00000000
219.04000;3.8590013e-012;1.9343095e-011;5.0124615;0.00000000
219.28000;1.0550226e-011;1.9188982e-011;1.8188219;0.00000000
219.52000;1.3926177e-011;1.2213413e-011;0.87701121;0.00000000
219.76000;1.4769950e-011;5.0053657e-012;0.33888847;0.00000000
220.00000;1.6424119e-011;1.7683494e-012;0.10766784;0.00000000
220.24000;2.3181526e-011;6.5571333e-012;0.28286030;0.00000000
220.48000;3.2440006e-011;1.5484893e-011;0.47733941;0.00000000
220.72000;2.8521474e-011;1.6093584e-011;0.56426202;0.00000000
220.96000;1.6459075e-011;2.2666133e-011;1.3771208;0.00000000
221.20000;2.4232509e-011;2.1614209e-011;0.89195095;0.00000000
221.44000;3.0172820e-011;2.1874831e-011;0.72498461;0.00000000
221.68000;2.7862827e-011;1.6136432e-011;0.57913835;0.00000000
221.92000;2.9908189e-011;9.2754092e-012;0.31012942;0.00000000
222.16000;2.6631813e-011;6.2139246e-012;0.23332714;0.00000000
222.40000;1.2256648e-011;5.1076153e-012;0.41672205;0.00000000
222.64000;1.7304114e-011;1.9867774e-012;0.11481532;0.00000000
222.88000;8.9572885e-012;-1.0513766e-011;-1.1737666;0.00000000
223.12000;1.3006976e-011;7.3676744e-012;0.56644021;0.00000000
223.36000;1.7894698e-011;7.8181910e-012;0.43689986;0.00000000
223.60000;1.5826630e-011;8.7345687e-012;0.55189061;0.00000000
223.84000;#N/D;#N/D;#N/D;0.00000000
224.08000;#N/D;#N/D;#N/D;0.00000000
224.32000;1.9312698e-011;1.9593291e-011;1.0145290;0.00000000
224.56000;1.8559375e-011;8.6233264e-012;0.46463452;0.00000000
224.80000;2.1725438e-011;6.0873442e-012;0.28019431;0.00000000
225.04000;1.8318462e-011;1.4468832e-011;0.78984971;0.00000000
225.28000;1.8700972e-011;8.3704125e-012;0.44759237;0.00000000
225.52000;1.5329273e-011;1.5311890e-011;0.99886606;0.00000000
225.76000;2.1313173e-011;1.9873548e-011;0.93245376;0.00000000
226.00000;1.8632248e-011;2.1751472e-011;1.1674099;0.00000000
226.24000;9.7111809e-012;1.5455665e-011;1.5915330;0.00000000
226.48000;-5.1554534e-012;-8.5674821e-013;0.16618290;0.00000000
226.72000;-9.0810622e-012;-8.3476610e-012;0.91923839;0.00000000
226.96000;8.8032817e-012;8.6546631e-012;0.98311782;0.00000000
227.20000;3.9368763e-012;1.7484957e-011;4.4413275;0.00000000
227.44000;1.6007246e-012;2.1453306e-012;1.3402247;0.00000000
227.68000;2.3091599e-011;7.2789029e-012;0.31521866;0.00000000
227.92000;1.9510866e-011;7.8259867e-012;0.40110914;0.00000000
228.16000;1.2612861e-011;1.0938440e-011;0.86724494;0.00000000
228.40000;1.1687479e-011;5.5161324e-012;0.47196941;0.00000000
228.64000;1.3521324e-011;2.8655537e-012;0.21192848;0.00000000
228.88000;1.4386871e-011;2.3429419e-012;0.16285277;0.00000000
229.12000;1.0684737e-011;-6.8580129e-012;-0.64185137;0.00000000
229.36000;-2.4423664e-013;-1.3437364e-011;55.017804;0.00000000
229.60000;5.1272189e-012;-2.7331595e-012;-0.53306862;0.00000000
229.84000;1.4548608e-011;-8.3911104e-013;-0.057676378;0.00000000
230.08000;1.4976168e-011;5.0737946e-012;0.33879124;0.00000000
230.32000;1.8646122e-011;1.5551957e-011;0.83405855;0.00000000
230.56000;2.1340007e-011;1.2413967e-011;0.58172275;0.00000000
230.80000;3.1022411e-011;1.0361145e-011;0.33398904;0.00000000
231.04000;3.7532211e-011;1.2792413e-011;0.34083825;0.00000000
231.28000;2.7907031e-011;9.7801050e-012;0.35045308;0.00000000
231.52000;1.4433655e-011;1.7477581e-012;0.12108909;0.00000000
231.76000;2.1520342e-011;1.4618928e-012;0.067930741;0.00000000
232.00000;3.1301367e-011;1.0225366e-011;0.32667474;0.00000000
232.24000;2.8979072e-011;1.3955678e-011;0.48157782;0.00000000
232.48000;1.8555578e-011;8.3786255e-012;0.45154215;0.00000000
232.72000;6.6891747e-012;-8.3213286e-013;-0.12439993;0.00000000
232.96000;7.1721793e-012;4.0769233e-012;0.56843577;0.00000000
233.20000;1.3988326e-011;1.4581394e-011;1.0423973;0.00000000
233.44000;1.5940986e-011;1.6455561e-011;1.0322800;0.00000000
233.68000;1.3934652e-011;1.0036272e-011;0.72023845;0.00000000
233.92000;1.7848671e-011;3.5235055e-012;0.19740996;0.00000000
234.16000;3.3761270e-011;1.1422421e-011;0.33832913;0.00000000
234.40000;2.4177936e-011;-1.1171134e-012;-0.046203837;0.00000000
234.64000;1.7264839e-011;4.3215178e-012;0.25030744;0.00000000
234.88000;3.3234775e-011;1.8166809e-011;0.54662051;0.00000000
235.12000;4.2774229e-011;2.9206302e-011;0.68280137;0.00000000
235.36000;3.4761431e-011;2.7561873e-011;0.79288661;0.00000000
235.60000;2.0576584e-011;2.0897355e-011;1.0155891;0.00000000
235.84000;1.3968410e-011;1.5141276e-011;1.0839656;0.00000000
236.08000;1.7295636e-011;2.0883268e-012;0.12074299;0.00000000
236.32000;2.9455695e-011;3.5123057e-012;0.11924030;0.00000000
236.56000;2.0302603e-011;6.8360212e-013;0.033670663;0.00000000
236.80000;7.1014463e-012;8.4499513e-013;0.11898916;0.00000000
237.04000;2.5151931e-011;1.6383057e-011;0.65136378;0.00000000
237.28000;2.6186741e-011;1.6001986e-011;0.61107206;0.00000000
237.52000;1.9437475e-011;1.4158852e-011;0.72843060;0.00000000
237.76000;1.9535011e-011;1.5854330e-011;0.81158543;0.00000000
238.00000;2.4390591e-011;1.5966260e-011;0.65460734;0.00000000
238.24000;2.6895118e-011;1.6655820e-011;0.61928788;0.00000000
238.48000;2.9599296e-011;2.0412029e-011;0.68961199;0.00000000
238.72000;3.2518089e-011;1.7166172e-011;0.52789608;0.00000000
238.96000;2.1972584e-011;-1.1841614e-012;-0.053892679;0.00000000
239.20000;2.1905578e-011;5.6253172e-012;0.25679838;0.00000000
239.44000;2.4455192e-011;7.0598150e-013;0.028868369;0.00000000
239.68000;1.9244560e-011;-5.8264369e-013;-0.030275760;0.00000000
239.92000;1.8886662e-011;2.4687188e-012;0.13071229;0.00000000
240.16000;2.5321848e-011;1.0404618e-011;0.41089488;0.00000000
240.40000;2.7745755e-011;2.1580343e-011;0.77778901;0.00000000
240.64000;2.6479112e-011;1.9732077e-011;0.74519407;0.00000000
240.88000;2.0924490e-011;1.2107947e-011;0.57864957;0.00000000
241.12000;1.3604444e-011;-6.6472178e-012;-0.48860637;0.00000000
241.36000;1.3400191e-011;3.6917810e-012;0.27550211;0.00000000
241.60000;1.6943304e-011;7.7908441e-012;0.45981847;0.00000000
241.84000;1.0082624e-011;2.9365872e-012;0.29125228;0.00000000
242.08000;#N/D;#N/D;#N/D;0.00000000
242.32000;#N/D;#N/D;#N/D;0.00000000
242.56000;2.1463315e-011;1.1245812e-011;0.52395503;0.00000000
242.80000;2.1403776e-011;1.6584066e-011;0.77481963;0.00000000
243.04000;1.2880318e-011;3.2872664e-012;0.25521625;0.00000000
243.28000;-5.8332513e-012;-8.4345682e-012;1.4459463;0.00000000
243.52000;1.7858497e-011;9.4888215e-012;0.53133372;0.00000000
