Wl; WR; S; Ref; Info
196.00000;2.0711512e-011;1.1077571e-011;0.53485090;2.0000000
196.24000;1.5585755e-011;2.0153652e-011;1.2930816;1.0000000
196.48000;2.7654502e-012;1.3525065e-011;4.8907280;1.0000000
196.72000;5.4106805e-012;2.8638130e-012;0.52928887;1536.0000
196.96000;-9.8510227e-012;1.3139516e-012;-0.13338225;400.00000
197.20000;-1.7035825e-011;6.5120805e-013;-0.038225800;10.000000
197.44000;-2.4101032e-012;4.9518120e-012;-2.0546058;0.00000000
197.68000;4.9462413e-012;1.6112126e-012;0.32574485;0.00000000
197.92000;-5.6756964e-012;-8.3933108e-012;1.4788160;0.00000000
198.16000;-7.2166723e-012;-6.4448600e-012;0.89305149;0.00000000
198.40000;9.8254075e-012;5.2468010e-012;0.53400340;0.00000000
198.64000;1.7662970e-011;8.1999665e-012;0.46424618;0.00000000
198.88000;2.9838441e-012;-1.4202085e-012;-0.47596604;0.00000000
199.12000;2.5716280e-012;-4.3702825e-012;-1.6994225;0.00000000
199.36000;1.0774507e-011;-1.2052915e-012;-0.11186511;0.00000000
199.60000;1.1343542e-011;-2.1686794e-012;-0.19118185;0.00000000
199.84000;1.5775273e-011;3.7573709e-012;0.23818104;0.00000000
200.08000;1.7873289e-011;9.6687452e-012;0.54096059;0.00000000
200.32000;4.2710984e-012;-1.5413669e-012;-0.36088302;0.00000000
200.56000;6.3137869e-012;-8.6459473e-012;-1.3693758;0.00000000
200.80000;3.4482915e-011;1.4234487e-011;0.41279826;0.00000000
201.04000;3.9069218e-011;1.6583150e-011;0.42445563;0.00000000
201.28000;2.5750691e-011;1.4289606e-012;0.055492126;0.00000000
201.52000;2.2474883e-011;-5.8018108e-013;-0.025814643;0.00000000
201.76000;2.5935163e-011;1.1151631e-011;0.42998116;0.00000000
202.00000;3.3025372e-011;2.4748197e-011;0.74936920;0.00000000
202.24000;3.0880725e-011;2.7482502e-011;0.88995652;0.00000000
202.48000;1.3735261e-011;1.6505165e-011;1.2016637;0.00000000
202.72000;4.6828853e-012;3.7547186e-012;0.80179597;0.00000000
202.96000;1.2438709e-011;5.3301807e-012;0.42851558;0.00000000
203.20000;1.5823356e-011;7.2654184e-012;0.45915787;0.00000000
203.44000;2.2766786e-011;1.4249965e-011;0.62591027;0.00000000
203.68000;2.7416282e-011;1.0414079e-011;0.37985016;0.00000000
203.92000;2.7550314e-011;4.7550862e-012;0.17259644;0.00000000
204.16000;2.7707514e-011;2.2411936e-012;0.080887573;0.00000000
204.40000;3.1152779e-011;4.6667534e-012;0.14980215;0.00000000
204.64000;3.4232706e-011;1.1930347e-011;0.34850727;0.00000000
204.88000;2.8799814e-011;1.7129680e-011;0.59478439;0.00000000
205.12000;1.4275497e-011;2.9519215e-012;0.20678240;0.00000000
205.36000;3.1894454e-011;5.6180148e-012;0.17614394;0.00000000
205.60000;5.1261131e-011;2.2822207e-011;0.44521466;0.00000000
205.84000;3.9427985e-011;1.6658370e-011;0.42250117;0.00000000
206.08000;3.1097639e-011;1.2576266e-011;0.40441225;0.00000000
206.32000;3.0666957e-011;1.5154788e-011;0.49417319;0.00000000
206.56000;2.4078892e-011;4.3848822e-012;0.18210482;0.00000000
206.80000;1.3336178e-011;-1.5401338e-011;-1.1548540;0.00000000
207.04000;1.7213668e-011;-1.0604391e-011;-0.61604483;0.00000000
207.28000;2.2445577e-011;-5.4404373e-012;-0.24238349;0.00000000
207.52000;2.6563988e-011;8.5848622e-013;0.032317671;0.00000000
207.76000;1.2343757e-011;-8.1746035e-012;-0.66224597;0.00000000
208.00000;8.6869100e-012;1.1604853e-012;0.13359012;0.00000000
208.24000;5.8873070e-012;1.1546237e-011;1.9612085;0.00000000
208.48000;1.0560070e-011;1.3990922e-011;1.3248892;0.00000000
208.72000;2.4310816e-011;8.4319937e-012;0.34684124;0.00000000
208.96000;#N/D;#N/D;#N/D;0.00000000
209.20000;#N/D;#N/D;#N/D;0.00000000
209.44000;3.4894405e-011;3.4064026e-011;0.97620308;0.00000000
209.68000;2.8677031e-011;1.9421875e-011;0.67726238;0.00000000
